application_type,usia,masa_kerja,golongan_jabatan,status_kepegawaian,gaji_bulanan,jumlah_tanggungan,riwayat_kredit,keputusan_kredit,omzet_usaha,lama_usaha,sektor_ekonomi,lokasi_usaha,riwayat_pinjaman,jenis_penggunaan_kredit,jenis_jaminan,sumber_dana_pengembalian,plafond_pengajuan,jangka_waktu_kredit,collateral_details
UMKM/Pengusaha,,,,,,,,Layak,150728101.76,2.0,Jasa,Pusat Kota,Ada,Pembelian Aset,Kendaraan,Lain-lain,430268527.42,11,"{""merk_kendaraan"": ""Toyota"", ""tahun_kendaraan"": 2014, ""atas_nama_kendaraan"": ""Eko Habibi"", ""lokasi_jaminan"": ""Yogyakarta""}"
UMKM/Pengusaha,,,,,,,,Pertimbangkan,34794359.16,11.0,Transportasi,Pedesaan,Pernah Macet,Pembelian Aset,Kendaraan,Penjualan Aset,191494648.65,15,"{""merk_kendaraan"": ""Mitsubishi"", ""tahun_kendaraan"": 2013, ""atas_nama_kendaraan"": ""Emil Permata, S.T."", ""lokasi_jaminan"": ""Luar Yogyakarta""}"
Pegawai,43.0,8.0,Administrasi,Outsource,19775939.6,2.0,Ada,Layak,,,,,,,Kendaraan,,400312647.0,7,"{""merk_kendaraan"": ""Toyota"", ""tahun_kendaraan"": 2006, ""atas_nama_kendaraan"": ""Ayu Padmasari"", ""lokasi_jaminan"": ""Luar Yogyakarta""}"
UMKM/Pengusaha,,,,,,,,Layak,118407532.08,2.0,Pertanian,Sleman,Tidak Ada,Investasi,Persediaan,Penjualan Aset,240428222.16,70,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""aliquam""}"
Pegawai,25.0,5.0,Staf Senior,Tetap,27324509.28,2.0,Tidak Ada,Layak,,,,,,,Deposito,,112326255.84,12,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""nesciunt""}"
UMKM/Pengusaha,,,,,,,,Layak,50011461.18,10.0,Jasa,Pinggir Kota,Tidak Ada,Modal Kerja,Tanah/Bangunan,Lain-lain,483801810.04,21,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""occaecati""}"
UMKM/Pengusaha,,,,,,,,Pertimbangkan,195106134.51,2.0,Pertanian,Yogyakarta Kota,Pernah Macet,Konsumsi,Tidak Ada,Tambahan Modal,378017849.77,62,
UMKM/Pengusaha,,,,,,,,Pertimbangkan,129014039.28,5.0,Kerajinan,Pinggir Kota,Ada,Investasi,Kendaraan,Lain-lain,220627594.82,27,"{""merk_kendaraan"": ""Suzuki"", ""tahun_kendaraan"": 2010, ""atas_nama_kendaraan"": ""Almira Mayasari"", ""lokasi_jaminan"": ""Yogyakarta""}"
UMKM/Pengusaha,,,,,,,,Tidak Layak,26242346.9,14.0,Pertanian,Bantul,Pernah Macet,Renovasi,Tidak Ada,Penjualan Aset,248579711.47,44,
UMKM/Pengusaha,,,,,,,,Pertimbangkan,140096467.57,2.0,Transportasi,Pinggir Kota,Pernah Macet,Konsumsi,Deposito,Usaha Sendiri,178218355.3,23,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""eligendi""}"
UMKM/Pengusaha,,,,,,,,Layak,88358990.19,1.0,IT,Yogyakarta Kota,Tidak Ada,Modal Kerja,Persediaan,Penjualan Aset,355391997.77,9,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""dolorem""}"
UMKM/Pengusaha,,,,,,,,Pertimbangkan,101746672.18,1.0,Pertanian,Pinggir Kota,Ada,Konsumsi,Tidak Ada,Tambahan Modal,467183665.26,30,
Pegawai,58.0,13.0,Staf Pelaksana,Tetap,16897884.97,2.0,Ada,Layak,,,,,,Pembelian Kendaraan,Kendaraan,Bonus,187589003.11,11,"{""merk_kendaraan"": ""Honda"", ""tahun_kendaraan"": 2019, ""atas_nama_kendaraan"": ""Ilsa Kuswandari"", ""lokasi_jaminan"": ""Luar Yogyakarta""}"
Pegawai,52.0,17.0,Staf Senior,Tetap,10372257.71,4.0,Pernah Macet,Pertimbangkan,,,,,,Pendidikan,Deposito,Gaji,385394481.13,30,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""itaque""}"
Pegawai,32.0,28.0,Administrasi,Kontrak,27050517.54,4.0,Ada,Layak,,,,,,,Kendaraan,,51741463.11,27,"{""merk_kendaraan"": ""Mitsubishi"", ""tahun_kendaraan"": 2021, ""atas_nama_kendaraan"": ""Melinda Natsir"", ""lokasi_jaminan"": ""Yogyakarta""}"
UMKM/Pengusaha,,,,,,,,Layak,164814864.48,5.0,Jasa,Online,Tidak Ada,Modal Kerja,Deposito,Penjualan Aset,329332940.69,64,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""natus""}"
Pegawai,55.0,11.0,Supervisor,Outsource,12379558.76,0.0,Ada,Layak,,,,,,Renovasi Rumah,Piutang,Lain-lain,199364385.08,11,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""cupiditate""}"
UMKM/Pengusaha,,,,,,,,Layak,188871717.97,15.0,Jasa,Pinggir Kota,Ada,Pembelian Aset,Kendaraan,Lain-lain,298530870.2,12,"{""merk_kendaraan"": ""Suzuki"", ""tahun_kendaraan"": 2000, ""atas_nama_kendaraan"": ""Suci Mardhiyah"", ""lokasi_jaminan"": ""Yogyakarta""}"
UMKM/Pengusaha,,,,,,,,Layak,32162167.31,12.0,Kuliner,Pinggir Kota,Ada,Renovasi,Piutang,Lain-lain,480247067.1,50,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""nobis""}"
UMKM/Pengusaha,,,,,,,,Layak,108058235.78,13.0,Transportasi,Pinggir Kota,Ada,Konsumsi,Tidak Ada,Penjualan Aset,43614734.0,20,
Pegawai,28.0,29.0,Administrasi,Outsource,19661353.64,5.0,Ada,Pertimbangkan,,,,,,Pendidikan,Emas,Bonus,494329432.55,49,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""quam""}"
Pegawai,36.0,24.0,Administrasi,Kontrak,12646685.97,4.0,Ada,Layak,,,,,,Pendidikan,Persediaan,Gaji,54065936.71,30,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""consequatur""}"
UMKM/Pengusaha,,,,,,,,Layak,75941407.89,12.0,Manufaktur,Bantul,Tidak Ada,Modal Kerja,Emas,Lain-lain,167645340.84,6,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""omnis""}"
UMKM/Pengusaha,,,,,,,,Pertimbangkan,9000062.01,15.0,Kerajinan,Yogyakarta Kota,Ada,Konsumsi,Persediaan,Lain-lain,114297707.92,56,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""ex""}"
Pegawai,45.0,4.0,Administrasi,Outsource,11439994.66,3.0,Tidak Ada,Pertimbangkan,,,,,,Renovasi Rumah,Kendaraan,Pendapatan Lain,471502659.98,32,"{""merk_kendaraan"": ""Mitsubishi"", ""tahun_kendaraan"": 2004, ""atas_nama_kendaraan"": ""Karimah Hidayanto"", ""lokasi_jaminan"": ""Luar Yogyakarta""}"
Pegawai,39.0,21.0,Staf Senior,Outsource,10866419.6,2.0,Pernah Macet,Pertimbangkan,,,,,,Pembelian Kendaraan,Persediaan,Lain-lain,302959477.14,49,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""illo""}"
Pegawai,36.0,8.0,Staf Senior,Outsource,18088057.58,1.0,Pernah Macet,Layak,,,,,,Pembelian Kendaraan,Kendaraan,Bonus,163371005.43,62,"{""merk_kendaraan"": ""Honda"", ""tahun_kendaraan"": 2000, ""atas_nama_kendaraan"": ""Devi Jailani"", ""lokasi_jaminan"": ""Yogyakarta""}"
Pegawai,35.0,4.0,Supervisor,Outsource,8419929.19,5.0,Ada,Pertimbangkan,,,,,,Renovasi Rumah,Deposito,Gaji,498628241.12,52,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""eius""}"
Pegawai,39.0,3.0,Staf Pelaksana,Tetap,29358890.25,0.0,Pernah Macet,Pertimbangkan,,,,,,,Tidak Ada,,483340633.26,19,
UMKM/Pengusaha,,,,,,,,Pertimbangkan,150667707.99,14.0,Transportasi,Pinggir Kota,Pernah Macet,Konsumsi,Persediaan,Lain-lain,349570746.61,63,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""aperiam""}"
UMKM/Pengusaha,,,,,,,,Pertimbangkan,73698285.65,11.0,Manufaktur,Pinggir Kota,Pernah Macet,Modal Kerja,Persediaan,Penjualan Aset,87591247.84,55,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""perspiciatis""}"
UMKM/Pengusaha,,,,,,,,Pertimbangkan,169899835.3,1.0,Transportasi,Bantul,Ada,Modal Kerja,Tanah/Bangunan,Usaha Sendiri,175496899.44,48,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""corporis""}"
Pegawai,32.0,11.0,Supervisor,Outsource,23757799.52,0.0,Ada,Layak,,,,,,,Kendaraan,,205748154.03,29,"{""merk_kendaraan"": ""Honda"", ""tahun_kendaraan"": 2004, ""atas_nama_kendaraan"": ""Rama Wastuti"", ""lokasi_jaminan"": ""Luar Yogyakarta""}"
UMKM/Pengusaha,,,,,,,,Layak,103015765.06,9.0,Lainnya,Online,Ada,Modal Kerja,Tidak Ada,Tambahan Modal,467535187.93,32,
Pegawai,36.0,23.0,Administrasi,Tetap,7196761.62,3.0,Ada,Pertimbangkan,,,,,,Urusan Pribadi,Kendaraan,Lain-lain,222939569.78,9,"{""merk_kendaraan"": ""Mitsubishi"", ""tahun_kendaraan"": 2022, ""atas_nama_kendaraan"": ""Farah Salahudin, S.I.Kom"", ""lokasi_jaminan"": ""Yogyakarta""}"
UMKM/Pengusaha,,,,,,,,Layak,75162810.4,11.0,Pertanian,Yogyakarta Kota,Tidak Ada,Modal Kerja,Emas,Tambahan Modal,314682262.08,46,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""quod""}"
Pegawai,35.0,4.0,Supervisor,Outsource,19726643.03,1.0,Ada,Pertimbangkan,,,,,,,Tidak Ada,,227294350.8,57,
UMKM/Pengusaha,,,,,,,,Layak,156803770.67,10.0,Pertanian,Pinggir Kota,Tidak Ada,Pembelian Aset,Emas,Lain-lain,387937202.49,50,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""adipisci""}"
UMKM/Pengusaha,,,,,,,,Pertimbangkan,24426528.18,12.0,IT,Pusat Kota,Pernah Macet,Modal Kerja,Kendaraan,Usaha Sendiri,485426881.26,51,"{""merk_kendaraan"": ""Mitsubishi"", ""tahun_kendaraan"": 2008, ""atas_nama_kendaraan"": ""Humaira Simanjuntak"", ""lokasi_jaminan"": ""Luar Yogyakarta""}"
UMKM/Pengusaha,,,,,,,,Pertimbangkan,20426333.37,6.0,Kerajinan,Pinggir Kota,Tidak Ada,Konsumsi,Piutang,Lain-lain,35834779.91,23,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""eligendi""}"
Pegawai,51.0,2.0,Staf Pelaksana,Kontrak,6122619.42,3.0,Tidak Ada,Pertimbangkan,,,,,,,Piutang,,466324912.16,37,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""magni""}"
UMKM/Pengusaha,,,,,,,,Layak,49875693.81,12.0,Lainnya,Pedesaan,Ada,Investasi,Kendaraan,Tambahan Modal,71174359.15,67,"{""merk_kendaraan"": ""Suzuki"", ""tahun_kendaraan"": 2016, ""atas_nama_kendaraan"": ""KH. Kayun Sihotang"", ""lokasi_jaminan"": ""Luar Yogyakarta""}"
UMKM/Pengusaha,,,,,,,,Layak,33063728.61,8.0,IT,Pusat Kota,Pernah Macet,Konsumsi,Kendaraan,Usaha Sendiri,144069899.37,31,"{""merk_kendaraan"": ""Toyota"", ""tahun_kendaraan"": 2004, ""atas_nama_kendaraan"": ""Jelita Pranowo"", ""lokasi_jaminan"": ""Luar Yogyakarta""}"
Pegawai,59.0,10.0,Supervisor,Tetap,15448170.47,5.0,Ada,Layak,,,,,,Konsumsi,Tidak Ada,Pendapatan Lain,52633039.71,47,
UMKM/Pengusaha,,,,,,,,Layak,87630994.41,7.0,Perdagangan,Yogyakarta Kota,Pernah Macet,Pembelian Aset,Emas,Tambahan Modal,413388345.34,65,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""totam""}"
UMKM/Pengusaha,,,,,,,,Layak,57451151.04,8.0,Jasa,Pusat Kota,Pernah Macet,Konsumsi,Deposito,Lain-lain,293998631.56,40,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""atque""}"
UMKM/Pengusaha,,,,,,,,Layak,154291450.33,10.0,Transportasi,Online,Ada,Modal Kerja,Tanah/Bangunan,Lain-lain,426450240.65,54,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""repellendus""}"
Pegawai,24.0,5.0,Supervisor,Kontrak,23261233.12,0.0,Ada,Pertimbangkan,,,,,,,Tidak Ada,,481923666.01,66,
UMKM/Pengusaha,,,,,,,,Layak,137946087.36,9.0,Lainnya,Online,Ada,Renovasi,Tanah/Bangunan,Penjualan Aset,101757367.73,68,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""consectetur""}"
UMKM/Pengusaha,,,,,,,,Layak,194761155.16,15.0,Lainnya,Pusat Kota,Tidak Ada,Investasi,Kendaraan,Usaha Sendiri,30982101.95,25,"{""merk_kendaraan"": ""Suzuki"", ""tahun_kendaraan"": 2005, ""atas_nama_kendaraan"": ""Najwa Maryati, S.Pd"", ""lokasi_jaminan"": ""Yogyakarta""}"
UMKM/Pengusaha,,,,,,,,Layak,91089270.2,5.0,Transportasi,Online,Tidak Ada,Investasi,Tanah/Bangunan,Tambahan Modal,488147196.73,22,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""hic""}"
UMKM/Pengusaha,,,,,,,,Layak,186525509.99,13.0,Kerajinan,Pusat Kota,Ada,Renovasi,Persediaan,Usaha Sendiri,95808370.85,65,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""voluptatibus""}"
Pegawai,56.0,22.0,Staf Senior,Tetap,10017950.83,4.0,Pernah Macet,Pertimbangkan,,,,,,Konsumsi,Persediaan,Pendapatan Lain,332139584.1,33,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""expedita""}"
UMKM/Pengusaha,,,,,,,,Layak,86429732.16,4.0,Pertanian,Sleman,Tidak Ada,Konsumsi,Tidak Ada,Penjualan Aset,373367474.65,61,
Pegawai,28.0,22.0,Staf Senior,Kontrak,4311906.55,3.0,Ada,Pertimbangkan,,,,,,Pendidikan,Tidak Ada,Pendapatan Lain,141307008.7,17,
UMKM/Pengusaha,,,,,,,,Layak,153562943.16,3.0,Perdagangan,Sleman,Tidak Ada,Konsumsi,Persediaan,Tambahan Modal,50991103.29,58,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""temporibus""}"
Pegawai,56.0,14.0,Staf Pelaksana,Outsource,23283515.58,1.0,Ada,Layak,,,,,,Urusan Pribadi,Emas,Gaji,92186914.42,58,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""voluptatum""}"
UMKM/Pengusaha,,,,,,,,Pertimbangkan,19829632.03,9.0,IT,Pedesaan,Ada,Konsumsi,Tidak Ada,Tambahan Modal,143587076.14,7,
Pegawai,59.0,20.0,Staf Senior,Kontrak,13796253.35,2.0,Tidak Ada,Layak,,,,,,Konsumsi,Persediaan,Bonus,247075078.5,17,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""provident""}"
Pegawai,38.0,28.0,Administrasi,Kontrak,21307751.16,5.0,Pernah Macet,Pertimbangkan,,,,,,Pembelian Kendaraan,Tanah/Bangunan,Gaji,181813746.29,15,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""perspiciatis""}"
Pegawai,53.0,6.0,Supervisor,Outsource,11231699.32,5.0,Ada,Pertimbangkan,,,,,,Lain-lain,Piutang,Bonus,370972742.36,60,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""in""}"
UMKM/Pengusaha,,,,,,,,Pertimbangkan,119040688.41,12.0,Perdagangan,Bantul,Pernah Macet,Konsumsi,Tanah/Bangunan,Penjualan Aset,321005982.15,51,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""harum""}"
UMKM/Pengusaha,,,,,,,,Layak,61494673.22,1.0,IT,Pusat Kota,Tidak Ada,Renovasi,Persediaan,Usaha Sendiri,175044653.73,64,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""blanditiis""}"
UMKM/Pengusaha,,,,,,,,Layak,47069937.83,12.0,Kuliner,Yogyakarta Kota,Pernah Macet,Renovasi,Tidak Ada,Usaha Sendiri,308654714.87,49,
Pegawai,44.0,0.0,Supervisor,Outsource,21993502.21,2.0,Tidak Ada,Layak,,,,,,,Deposito,,351187320.12,12,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""eligendi""}"
Pegawai,45.0,7.0,Administrasi,Outsource,8626427.55,4.0,Pernah Macet,Pertimbangkan,,,,,,Urusan Pribadi,Deposito,Bonus,181694641.29,38,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""est""}"
Pegawai,57.0,25.0,Staf Pelaksana,Kontrak,4129715.5,4.0,Ada,Pertimbangkan,,,,,,,Kendaraan,,61909183.16,30,"{""merk_kendaraan"": ""Mitsubishi"", ""tahun_kendaraan"": 2013, ""atas_nama_kendaraan"": ""Respati Waskita"", ""lokasi_jaminan"": ""Yogyakarta""}"
UMKM/Pengusaha,,,,,,,,Layak,111648816.42,7.0,Kuliner,Pusat Kota,Tidak Ada,Renovasi,Persediaan,Tambahan Modal,352767324.63,57,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""officiis""}"
Pegawai,39.0,18.0,Staf Senior,Kontrak,18124642.88,1.0,Tidak Ada,Layak,,,,,,,Emas,,111390063.61,16,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""perferendis""}"
UMKM/Pengusaha,,,,,,,,Pertimbangkan,110901274.86,4.0,Transportasi,Pinggir Kota,Ada,Investasi,Tidak Ada,Tambahan Modal,81413868.15,61,
UMKM/Pengusaha,,,,,,,,Layak,151454483.08,14.0,Lainnya,Yogyakarta Kota,Pernah Macet,Pembelian Aset,Tidak Ada,Penjualan Aset,201980925.95,20,
Pegawai,55.0,13.0,Staf Senior,Outsource,24516332.97,5.0,Ada,Layak,,,,,,,Tanah/Bangunan,,222676372.11,38,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""quas""}"
Pegawai,32.0,18.0,Administrasi,Tetap,21912687.97,0.0,Pernah Macet,Pertimbangkan,,,,,,,Piutang,,431287134.15,10,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""nam""}"
Pegawai,49.0,16.0,Administrasi,Kontrak,18410287.39,0.0,Tidak Ada,Layak,,,,,,Urusan Pribadi,Piutang,Lain-lain,15201704.28,43,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""alias""}"
Pegawai,45.0,11.0,Administrasi,Tetap,20073827.44,0.0,Ada,Layak,,,,,,Pendidikan,Persediaan,Gaji,6167085.55,46,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""natus""}"
UMKM/Pengusaha,,,,,,,,Layak,176762425.73,15.0,IT,Pedesaan,Ada,Pembelian Aset,Deposito,Lain-lain,68379644.7,65,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""animi""}"
UMKM/Pengusaha,,,,,,,,Layak,80921901.4,15.0,Transportasi,Bantul,Ada,Konsumsi,Tidak Ada,Tambahan Modal,191373692.41,26,
UMKM/Pengusaha,,,,,,,,Layak,96022248.83,1.0,Perdagangan,Yogyakarta Kota,Ada,Modal Kerja,Tidak Ada,Usaha Sendiri,10850411.41,11,
Pegawai,57.0,15.0,Administrasi,Outsource,8208652.96,2.0,Ada,Layak,,,,,,Urusan Pribadi,Deposito,Pendapatan Lain,59783140.79,30,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""inventore""}"
UMKM/Pengusaha,,,,,,,,Layak,97345541.7,6.0,Kerajinan,Pedesaan,Ada,Konsumsi,Tidak Ada,Usaha Sendiri,301173458.18,63,
Pegawai,24.0,1.0,Staf Senior,Tetap,4333766.08,3.0,Ada,Tidak Layak,,,,,,,Tanah/Bangunan,,80739791.43,64,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""mollitia""}"
UMKM/Pengusaha,,,,,,,,Pertimbangkan,22399299.76,6.0,Lainnya,Pinggir Kota,Ada,Pembelian Aset,Emas,Usaha Sendiri,260425873.13,41,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""aliquid""}"
Pegawai,37.0,27.0,Supervisor,Kontrak,21029416.65,1.0,Pernah Macet,Layak,,,,,,,Emas,,132766763.0,70,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""quas""}"
Pegawai,47.0,33.0,Supervisor,Outsource,4668768.38,5.0,Pernah Macet,Tidak Layak,,,,,,,Emas,,292149377.68,44,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""magnam""}"
UMKM/Pengusaha,,,,,,,,Layak,138873831.9,5.0,Jasa,Yogyakarta Kota,Pernah Macet,Investasi,Deposito,Penjualan Aset,251797240.07,15,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""placeat""}"
Pegawai,28.0,12.0,Administrasi,Kontrak,15945624.93,0.0,Ada,Layak,,,,,,Urusan Pribadi,Piutang,Lain-lain,498837457.9,23,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""sunt""}"
UMKM/Pengusaha,,,,,,,,Layak,198370695.54,13.0,Lainnya,Pedesaan,Ada,Konsumsi,Tidak Ada,Usaha Sendiri,106424079.13,49,
Pegawai,28.0,22.0,Staf Senior,Tetap,4238934.38,1.0,Tidak Ada,Layak,,,,,,Pendidikan,Deposito,Pendapatan Lain,413510248.63,16,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""harum""}"
Pegawai,56.0,21.0,Supervisor,Outsource,20084562.95,4.0,Ada,Layak,,,,,,Konsumsi,Piutang,Lain-lain,27043686.02,34,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""placeat""}"
Pegawai,57.0,21.0,Administrasi,Outsource,18605643.59,5.0,Tidak Ada,Layak,,,,,,,Kendaraan,,436659081.1,19,"{""merk_kendaraan"": ""Honda"", ""tahun_kendaraan"": 2009, ""atas_nama_kendaraan"": ""Aslijan Mahendra"", ""lokasi_jaminan"": ""Yogyakarta""}"
Pegawai,48.0,21.0,Supervisor,Tetap,27057176.78,2.0,Tidak Ada,Layak,,,,,,Pembelian Kendaraan,Tanah/Bangunan,Lain-lain,375836901.2,20,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""facilis""}"
UMKM/Pengusaha,,,,,,,,Layak,65091670.3,7.0,Jasa,Yogyakarta Kota,Tidak Ada,Pembelian Aset,Kendaraan,Lain-lain,177620167.2,27,"{""merk_kendaraan"": ""Mitsubishi"", ""tahun_kendaraan"": 2006, ""atas_nama_kendaraan"": ""Gawati Narpati"", ""lokasi_jaminan"": ""Luar Yogyakarta""}"
Pegawai,45.0,3.0,Staf Pelaksana,Tetap,24004696.99,5.0,Pernah Macet,Pertimbangkan,,,,,,Konsumsi,Deposito,Bonus,88622565.77,45,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""laboriosam""}"
Pegawai,59.0,0.0,Supervisor,Tetap,25131084.81,4.0,Ada,Pertimbangkan,,,,,,,Deposito,,43449071.3,68,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""facere""}"
UMKM/Pengusaha,,,,,,,,Pertimbangkan,115412962.18,2.0,Lainnya,Pedesaan,Ada,Konsumsi,Persediaan,Penjualan Aset,202148507.16,12,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""sapiente""}"
Pegawai,54.0,25.0,Administrasi,Kontrak,11774891.48,5.0,Tidak Ada,Layak,,,,,,Pendidikan,Piutang,Pendapatan Lain,468454905.15,19,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""voluptates""}"
UMKM/Pengusaha,,,,,,,,Layak,159618504.7,8.0,Kerajinan,Pusat Kota,Ada,Modal Kerja,Tanah/Bangunan,Penjualan Aset,12363954.77,13,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""ea""}"
Pegawai,56.0,34.0,Staf Senior,Kontrak,24981883.45,1.0,Tidak Ada,Layak,,,,,,Lain-lain,Tanah/Bangunan,Lain-lain,204746512.88,34,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""aspernatur""}"
UMKM/Pengusaha,,,,,,,,Layak,197760694.05,10.0,Kuliner,Yogyakarta Kota,Pernah Macet,Renovasi,Piutang,Usaha Sendiri,178683196.17,23,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""non""}"
UMKM/Pengusaha,,,,,,,,Layak,117547902.75,11.0,Kerajinan,Sleman,Tidak Ada,Renovasi,Deposito,Usaha Sendiri,391100832.53,62,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""commodi""}"
UMKM/Pengusaha,,,,,,,,Pertimbangkan,20782868.93,14.0,Manufaktur,Online,Ada,Investasi,Tanah/Bangunan,Penjualan Aset,60719351.7,17,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""quisquam""}"
Pegawai,29.0,20.0,Staf Pelaksana,Outsource,15919836.54,5.0,Pernah Macet,Pertimbangkan,,,,,,,Emas,,376044780.11,15,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""esse""}"
Pegawai,26.0,24.0,Supervisor,Kontrak,9287564.99,0.0,Ada,Layak,,,,,,,Kendaraan,,332069293.4,57,"{""merk_kendaraan"": ""Suzuki"", ""tahun_kendaraan"": 2017, ""atas_nama_kendaraan"": ""Queen Megantara"", ""lokasi_jaminan"": ""Yogyakarta""}"
Pegawai,33.0,16.0,Staf Pelaksana,Outsource,9604505.86,2.0,Tidak Ada,Layak,,,,,,Urusan Pribadi,Tanah/Bangunan,Bonus,294038593.93,30,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""numquam""}"
UMKM/Pengusaha,,,,,,,,Pertimbangkan,44721563.24,5.0,Perdagangan,Pedesaan,Pernah Macet,Modal Kerja,Tidak Ada,Lain-lain,387507052.05,28,
UMKM/Pengusaha,,,,,,,,Layak,109332815.66,9.0,IT,Pedesaan,Tidak Ada,Renovasi,Piutang,Lain-lain,334888955.4,44,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""possimus""}"
UMKM/Pengusaha,,,,,,,,Pertimbangkan,81038969.11,5.0,Manufaktur,Pusat Kota,Pernah Macet,Konsumsi,Piutang,Penjualan Aset,374483123.43,46,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""voluptate""}"
Pegawai,49.0,20.0,Staf Pelaksana,Tetap,15436289.68,1.0,Pernah Macet,Pertimbangkan,,,,,,Urusan Pribadi,Tidak Ada,Bonus,226745022.42,24,
